birthdate	mail	company	name	user_id	ssn	blood_group	current_location	registration	job	username	residence	station_ID
	hanakogoto@yahoo.com	株式会社小林農林	中島 太郎	549	393-51-1115	A+		2022/08/28		aito		151
	xsherman@hotmail.com	Wilson, Parker and Daniels	Aaron Bailey	628	063-48-1308	AB-	(Decimal('32.554525'), Decimal('75.786075'))	05/26/2024, 00:00:00		luiskim		698
	amandanicolini@poste.it	Semitecolo-Dovara SPA	Gabriella Ficino	1578	FGTMRN72P18G309M	A+	(Decimal('19.342353'), Decimal('102.673963'))	23 Jan 2023		hmarazzi		596
	caua57@uol.com.br	da Conceição e Filhos	Luiz Felipe Almeida	654	39547062883	O+	(Decimal('8.982873'), Decimal('-29.138431'))	17 Aug 2021	Auxiliar de serviços gerais	otavio03		417
1960-12-05	natalieluebs@hotmail.de	Zobel Weimer AG & Co. KG	Sybilla Gotthard	1720	739-75-5839	B+	(Decimal('85.314079'), Decimal('82.473652'))	29 Jan 2020		adlerverena		473
	salesravy@yahoo.com.br	Melo	Felipe Cassiano	2042	01437952879	A+	(Decimal('5.678388'), Decimal('19.569682'))	2023/11/20		ncastro		571
	okent@hotmail.com	Herrera, Graves and Bell	Jaime Miller	91	196-35-3487	A+	(Decimal('-21.5815835'), Decimal('63.086205'))	2019-12-28		dharris		694
1913-01-19	lkimura@hotmail.com	有限会社山口農林	高橋 和也	1071	823-09-6363	B+	(Decimal('5.6589065'), Decimal('133.321104'))	2020/05/28		hideki77		106
	uverri@gmail.com	Strangio e figli	Renzo Antonucci	1302	TZZGNL22H59B433N	B+	(Decimal('49.806929'), Decimal('30.292880'))	2023-10-23		ricciardiserafina		600
	cauacaldeira@uol.com.br	Costela	Helena Camargo	1837	41897625049	B-	(Decimal('-25.1225965'), Decimal('19.929366'))	2022/12/23		luisa99		65
	ingridheuser@gmx.de	Holt	Lambert Juncken B.Sc.	348	243-49-0831	O-	(Decimal('-76.7420955'), Decimal('-54.287618'))	10 Jun 2022		fliegnerheike		691
1921-08-16	thomasmendonca@gmail.com	Porto Vargas S/A	Srta. Juliana Sampaio	941	08736421987	B+	(Decimal('21.617098'), Decimal('-63.473070'))	2023-07-07		rafaelleao		430
1945-05-08	erika39@hotmail.de	Höfig Riehl AG	Slawomir Striebitz	575	950-90-7221	O-	(Decimal('-73.245226'), Decimal('-31.781968'))	08/09/2019, 00:00:00		trudelfinke		651
1994-08-30	mendoncarodrigo@ig.com.br	Cirino da Luz - EI	Brenda Nascimento	2005	48165032771	B+	(Decimal('-13.623693'), Decimal('-150.287439'))	2019/05/30	Profissional de recursos humanos	vitorrezende		134
1932-06-19	kazuyakato@hotmail.com	高橋食品合同会社	林 智也	718	398-46-0847	B+	(Decimal('-59.1856675'), Decimal('0.964899'))	2025-03-30		jun99		332
	ryohei29@yahoo.com	遠藤情報有限会社	中島 直子	231	030-74-8535	O-	(Decimal('34.4957585'), Decimal('89.475233'))	2021-06-20	寿司職人	fkobayashi		403
1990-03-28	dcastro@hotmail.com	Farias e Filhos	Dra. Ágatha Vasconcelos	763	57381649209	AB-	(Decimal('28.092099'), Decimal('30.938420'))	12/03/2022, 00:00:00		luna63		682
1993-06-11	kantonelli@gmail.com	Moccia, Chigi e Garzoni s.r.l.	Matilda Guglielmi	516	CVLFLV72D28C533C	AB-		2021/11/23	Proofreader	oricciardi		206
	geronimo40@tele2.it	Conte-Castiglione e figli	Dott. Coluccio Gremese	1888	BRSGCH69M71E507A	O-		2023-04-08	Electronics engineer	paolo28		387
	caoki@yahoo.com	長谷川銀行有限会社	池田 修平	1004	615-67-0497	B+	(Decimal('58.771473'), Decimal('-100.561636'))	2024-02-18		kazuya98		27
1993-05-03	thomaseberhardt@hotmail.de	Mude	Isabell Niemeier	1184	911-41-5603	AB+	(Decimal('86.918329'), Decimal('133.178188'))	01/03/2022, 00:00:00		markussontag		425
	annetta86@live.com	Guglielmi, Fittipaldi e Badoglio s.r.l.	Ninetta Cristoforetti	740	SBLGNN38C20L816V	B-	(Decimal('-70.254370'), Decimal('-125.630498'))	10/22/2024, 00:00:00		galuppiernesto		229
1991-09-09	johnsonheidi@gmail.com	Mcneil, Torres and Jimenez	Debra Smith	1623	578-51-2555	AB+	(Decimal('21.9277055'), Decimal('104.275724'))	2023-01-14		rray		278
	jade40@bol.com.br	Viana Silveira - EI	Dante Borges	1906	24369780187	O-	(Decimal('83.856806'), Decimal('-5.719931'))	2019-02-04		esthercavalcanti		404
